,userName,score,at,content
419,Agung wicaksono,1,2022-07-28 04:05:54,sumpah gw udh berhenti langganan masih di tarik saldo gw netflix makin gajelas ga ikhlas gw jangan mu download netflix berlangganan cacat udh berhenti malah tetep di tarik saldo mbanking
420,Isnaini,5,2022-07-28 03:09:30,"Dari dulu sebelum pandemi netflix itu udah berbayar. Semenjak pandemi bayarnya dimahalin karena dimasukin pajak sama pemerintah. Jadi, yg menjadi masalah orang2 adalah mereka pengen nonton dengan memaki netflix padahal dari jaman baheula udh berbayar. Cuma sistem pembayarannya aja diperbanyak. Jadi bisa pake gopaylah, atau pake debit card lah. Dulu hanya bisa pake cc dan paypal. Jadi kalo mau ngeluh salah lapak kalian.."
421,21 101 AHMAD FALIQ RAEHAN,3,2022-07-28 02:30:30,"Saya cuma mau ada fitur pilih resolusi kayak yt saat menonton, itu aja sihğŸ¤§"
422,Riska Yuliasih,5,2022-07-28 02:28:59,"Lumayan Sh, cuma kadang suka lag mungkin karena ruang penyimpanan di hp ku sedikit"
423,email tika,4,2022-07-28 01:27:20,"Overall saya suka. Gak pernah ngelag gak ada iklan. Sepanjang film, smooooth bgt gak gmn2 dan subtitle jg ok. Cumaaaa saya kurang sreg sama pilihan. Utk Netflix Indo film western yg lama atau baru tuh dikit. Jd aku pake VPN dan pilih negara lain sih oke2 filmnya mayanlah. Masukannya cuma, banyakin koleksi filmnya lg yaaa! Kalo makin banyak dan cocok, aku bakal langganan lg dan lg ;)"
424,Achi Atan,2,2022-07-27 12:34:42,"Tadinya saya bisa masuk, tapi sekarang pas donlot ulang, koq gabisa yah?? Padahal koneksi internet aman, memory HP juga masih banyak, sudah restart sama matiin dulu hapenya. Bisa tolong dibantu kah Min? Thx"
425,MY GOOGLE 01,2,2022-07-27 02:24:25,"Maap saya tidak menyukai update baru baru ini , perihal tampilan subtitle yang berwarna hitam di belakangnya ."
426,Ujiart Desain,5,2022-07-26 05:50:39,"Buat developer nya mau saran tolong di berikan opsi bisa aktifkan 2 subtitle bersamaan dalam satu film.. Saya lagi belajar bahasa lewat film dan itu akan sangat memudahkan jika ada opsi mengaktifkan 2 subtitle (misal sub English dan Indonesia) secara bersamaan di film, ini akan jadi promosi yg bagus juga untuk Netflix dengan mengkampanyekn belajar bahasa lewat film dengan menyediakan opsi aktifkan 2 subtitle secara bersamaan."
427,Agung Gaming,2,2022-07-24 11:09:23,Kecewa dengan Netflix tiba tiba ga bisa di tonton video nya
428,Muhammad Ridwan,1,2022-07-24 06:42:03,Kuota 5gb ga bisa di pakai untuk netflix ga bisa daftar pake nomor hp fak
429,Ayu Amalia,3,2022-07-24 05:27:46,"Padahal sy mau bayar susahnya minta ampun, tolong lah perbaiki sistem pembayarannya ribet bgt asli. Coba lagi nanti. Ovo gpay saya saldo cukup tapi gabisa dipake bayar."
430,nand tz,5,2022-07-23 05:44:49,Terima kasih netflix team sudah menayangkan kartun kenangan saya saat kecil cardcaptor sakura .bersyukur hanya di netflix saya bisa nonton.ğŸ˜ğŸ˜.sukses terus buat netflix
431,rikilip,2,2022-07-23 05:33:53,Suara dan gambar gabisa pas. Gambarnya lebih lambat dr suara nya kaya slow motion
432,Yutiara _,5,2022-07-23 02:19:20,ga suka pake kartu kartu debit sgala ribet ga kaya inflik viu ga pake kartu debit ini ko ribet bgt.. aku kan ga puunya kartu debit cm pnya kuota..sy msh sklh sy suka bgt nonton film..tolong kebijakan jangan pake debit debitan
433,Rian Leonardi,3,2022-07-22 15:25:02,Perbaiki lagi lah bos padahal pake wifi super kencang tapi ga konek . Udah bayar mahal lagi buat langganan
434,Triana Nurmala Sari,1,2022-07-22 14:10:49,"Pagi masih bisa nonton Malam malah gk bisa kebuka aplikasi nya ""Kegagalan sistem"""
435,ita mandaryani,4,2022-07-22 13:20:57,Netflix keluar sendiri ini g bisa masuk apa app nya rusak..sya langganan autodebet setiap bulan..mohon di bantu
436,Gee 15,1,2022-07-22 05:17:42,"Udah brlangganan, tpi mau login malah gak bisa. Padahal udah bayar. Hedeehh."
437,Rendra Ahmad Hafizi,4,2022-07-21 14:08:51,Kenapa layarnnya ngefreeze mulu ya..padahal sebelum sebelummnya lancar banget
438,Andree Vcc,1,2022-07-21 13:47:43,"Biaya langganan mahal,error juga kalo download,,mending Disney hostar kalo kek giniğŸ˜"
439,Maria Agustini Titin,1,2022-07-21 13:10:37,"Saya heran pas mau download film banyak yg download, tpi pas user yg lain mau dihapus malah ga bisa. Katanya, ""maaf, perangkat ini tidak bisa dihapus sekarang"". Makin error ini aplikasi"
440,Riski Aprildhan,1,2022-07-21 06:27:56,Ampas ga lengkap film nya banyak yg ga ada yg bagus bagusğŸ˜¡
441,Siti Nurohmah,1,2022-07-21 01:34:43,"Setiap login mlah menunya ""selamat datang bla bla bla"" suka ssah jga kalo buka di tv.. sllu error. Kecewa bgt"
442,Kaka Apoy,5,2022-07-21 01:24:01,"Ranting nya 2,4 orang2 pd kenapa ? Selama aku pakai tdk ada masalah, kualitas video di Netflix malah lebih bagus, streaming lebih lancar."
443,fajar barokah,3,2022-07-19 14:47:11,Kurang update..film baru nya sangat sangat telaaaaaaat
444,Dimas Vito,5,2022-07-19 14:44:02,"Sangat bagus ..alhamdullillah tidak pernah ada kendala, dan semoga tidak pernah ada...tinggal ditingkatkan aja kualitasnya.."
445,Gusti Karinda,5,2022-07-19 13:32:43,"Bagus, gambar super ok. Tapi gak tau 4 hari terakhir ini tidak bisa dibuka padahal baru aja perpanjang langganan. Sudah coba hubungi pihak netflix tapi masalah belum terselesaikan."
446,S1 KEP Berta Deva Ayu Syafi,5,2022-07-18 23:47:11,"Bagus si menurut aku, kalau misal ada kendala coba aja logout dari akun kalian trus masuk lagi."
447,Taufik Hidayat,3,2022-07-18 17:14:31,banyak flim nya yang hilang awalnya ada habis tu dicari lagi ngak ada bantu untuk update nya min
448,Egi,5,2022-07-18 14:40:48,"Gue bingung bagi orang-orang yang ngasih bintang 1 alasannya gara-gara bayar. Aplikasi Netflix nggak kayak tv di Indonesia yang ada iklan nya. Ataupun YouTube yang banyak iklan nya.( Walaupun ada YouTube premium yang mesti bayar). Logika sederhananya gini aja. Kreator yang bikin film dan series itu memerlukan uang agar bisa bertahan hidup. Nah mereka dapet uang nya dari langganan kalian. Hargai karya orang lain, kalo masalah ingin dihargai aja paling keras suara nya."
449,Rafa Alvaro,1,2022-07-18 14:34:50,Hmmm kenapa ya gw kagak bisa login? Padahal udah isi sandi sama email malah login gagal gw coba lagi tetep gk bisa gimana gw mau nonton anime atau film dah?
450,ita mustika sari,2,2022-07-18 08:16:45,Saya kok sulit banget untuk masuk ke Netflix dan kenapa harus di kenakan biaya ? Tidak gratis ?
451,Risty Bunga,5,2022-07-17 13:15:30,"Bingung kenapa penilaiannya jelek banget padahal menurut saya paling bagus dan lengkap untuk fitur pemutaran video nya, i love netflix"
452,Mas Bo,1,2022-07-17 11:32:43,"film film nya kurang lengkap, sekali nya ada film yang bagus berhenti di episode tanpa update episode baru, tolong diperbaharui biar puas pelanggan netflix nya."
453,Arie Adi,1,2022-07-17 02:54:06,Sudah gak bisa login lgi.. di suruh top up dulu ğŸ‘
454,Ashadi Tjahyadi,4,2022-07-16 16:25:15,"Kenapa ada bahasa translet nya, jd ngga berasa nonton film ORI nya, tp beberapa bahasanya asli, tp lumayan lah. Good"
455,YT IYAN RX,4,2022-07-16 13:24:36,Yah boleh lah filmnya btw kualitas gambar nya kok ngatur sendiri yah kaga bisa di ubahÂ² tapi emang bagus sih cooler full
456,Dilsa Farila,1,2022-07-16 07:40:35,"Udah beberapa kali coba instal pas udah ke instal gak bisa masuk,kurang memuaskan gak seperti apk lainnya"
457,Arlitha Dewi,2,2022-07-16 06:38:23,"Susah banget untuk perbarui pembayaran, setiap mau perbarui pembayaran ada aja masalahnya"
458,Mahfud Ridho,5,2022-07-15 15:02:28,"kualitas gambar bagus dan film2 nya banyak piliah , suara nya jg kereen"
459,Tatang Hidayat,5,2022-07-15 04:35:41,"bagus. Mudah digunakan dan tanpa kendala. Mungkin lebih diperbanyak lagi koleksi filemnya. Banyak saingan sekarang macam disney+,hbo,amazon. Semoga terus ditingkatkan kualitas dan kuantitas filem2nya biar gak ditinggalkan user2nya."
460,Dewi Handayani,2,2022-07-14 16:31:40,"ga jelas bgt udah berapa kali ke logout sendiri,sampe ganti akun pun masih sering logout sendiri,list film2 jd hilang semua,kadang jg bahasa indo nya gadaaa"
461,dina anggreani,5,2022-07-14 16:03:32,"Cintaaaa bangettt sama netflix sgt amat membantu dikala gabut ğŸ˜ dan paling suka sm dokumenter kasus-kasus pembunuhan. Ngemas nya bagus bgt jd asik ngikutin tiap episodenya, apalagi ttg kartel narkoba itu juga seruuu bgt ditonton! Jgn naik yah harga bulanannya please ;)"
462,PAPA ONLINE,1,2022-07-14 02:33:34,"Adalah ide buruk mengkategorikan harga dengan perbedaan resolusi kualitas tontonan... Biaya berlangganan terlalu mahal, wajar jika makin lama makin ditinggalkan pelanggan.. aplikasi sebelah makin hari makin bagus dan menggoda yang kualitas 4K HDR tapi dengan harga yang hanya setengah nya dari harga Netflix, meski koleksi film tidak selengkap Netflix. Tetap lebih worth it aplikasi streaming sebelah. Sangat yakin jika Netflix terus seperti ini, lama kelamaan akan Tenggelam ditinggal pelanggan."
463,Gabriel- -Valencius,5,2022-07-14 01:34:41,"Sayang sekali tidak semua film tersedia, ingin nonton Kung Fu Hustle tapi tidak ada, dan bisakah buat pengaturan untuk skip agar bisa di ubah jadi 5 detik"
464,Dortheus Nelson ick,2,2022-07-14 01:11:38,"Hi Netfix,kenapa di akun saya nggak ada stranger things vol-2nya ? Udah langganan pas mau nonton kok nggak ada,udah saya log-out & log-in di akun saya ,tapi tetap tdk bisa,tolong segera di jawab !! Makasih ğŸ™ğŸ¼"
465,Rizky faiz,2,2022-07-13 15:56:27,Sering lag pas mau nonton + gak terlalu lengkap filmnya â˜¹ï¸
466,Dona Dwi Saputra,2,2022-07-13 11:39:59,"Lagi enak nonton film malah tiba-tiba logout sendiri, dan pas di cari filmnya udah ga bisa ditonton, cuma tulisan preview tidak tersedia. Jujur kecewa sama netflix padahal sudah 6 bulan langganan dan sebelumnya tidak ada masalah sama sekali. Mungkin sekarang saya pertimbangkan lagi buat langganan bulan depannya soalnya udah kecewa mending pakai platform selain netflix"
467,Rahmi Yuniarosanti,5,2022-07-12 23:08:30,Diantara apk film yg lain Netflix paling nyaman dipake berbayar pun sesuai dg kualitas
468,Ibnu Jamalludin,2,2022-07-12 21:59:25,"Awalnya suka tapi sekarang pas mau record kamera layar, why jadi black screen"
469,Ismail Marzuki,1,2022-07-12 12:19:04,kok aku gak bisa make ya. padahal ada kuota khusus dari provider untuk buka netflix
470,rryn,1,2022-07-12 12:00:00,"Buat yg suka gratisan mundur dulu deh, jangan download Netflix, ku baru install langsung unisntall karena tanpa ba-bi-bu langsung pilih paket bulanan â˜ºï¸ğŸ™"
471,Rahmawati Zulfa,4,2022-07-12 06:10:57,Aga heran sama netflix ada 2 drakor on going yang emang masi di tonton cuma tiba tiba aja filmnya ngilang gaada gitu? Ada yang bisa bangun jelasin itu kenapa? Cuma pas search ke g**gle masin tertera tersedia di netflix
472,Intan z,1,2022-07-11 21:46:35,Setelah di update jd tdk bsa nonton payaaah ğŸ¤¨ğŸ˜‘
473,steven christian,1,2022-07-11 21:28:04,Aplikasi ada tulisan anda ingin melanjutkan di tv ini? Tapi tidak ada pilihannya...layar tidak ada menu yg bisa dipilih. Mohon di perbaiki bug'nya
474,Diego Lorenzo,2,2022-07-11 15:26:04,saya nonton film dengan format dolbyvision (device xiaomipad 5 sudah widevine:L1 & support dolbyvision). pas adegan malam hari/ruangan agak gelap kok malah tampilannya terlihat terlalu gelap. saya coba download film yg sama dan play via pemutar video bawaan hp tampilannya gak redup. tolong diperbaiki bug nya
475,ANAQI,1,2022-07-11 10:39:17,"Apk gak jelas hapus aja nih apk. Mau login gak bisa, mau di hapus karena gak bisa login udah bawaan HUU!!!! APK GAK JELAS"
476,YANA DAHLAN,5,2022-07-11 09:10:52,"Baru coba....semua tergantung aplikasinya,klu bagus ya bagus,klu jelek akan di katakan jelek...Ulasan ini kan bisa di edit ğŸ‘"
477,Nisa AsmaulHusna,1,2022-07-11 01:53:54,"Aplikasi jelek suka error tolong Di perbaiki lagi saya Sudah Bayar tpi pas buka aplikasi bacaan Netflix trust sampai 10 mnit trus bacaan aplikasi tidak Di dukung jelek.. Jelek ..jelek... Pokoknya Selama punya saya blom bisa terbuka, ini masih ku kasi ranting 1 trus"
478,Dody Wahyudi,1,2022-07-10 17:04:46,Aplikasi bapuk...langganan berbulan2 tp kali ini makin error.. Serial yg berepisode tiba2 hilang gak jelas..dapet notif episode baru pas di klik nihil filmnya ğŸ¥²
479,I Annisa_Putri I [7D],1,2022-07-10 09:39:55,"Jangan Tampilkan Film The Umbrella Academy 3 ,Karena Ada Lafazh Allah SWT Di Lantai Di Film Itu. Mengecewakan."
480,Yoga Jamara,3,2022-07-10 05:51:11,"Tolong dong bug""nya diperbaiki, suka ngeglare."
481,Bapakmu Ibukmu,5,2022-07-10 05:08:08,"semenjak berlangganan jadi sering bangun kerja kesiangan, gara2x nonton drakor langsung seri 1 sampai habis.."
482,angeline belandina,4,2022-07-09 14:20:56,"Udh mau setgh tahun langganan netflix so far its good, cuman sayang buat drakor dan beberapa film populer kok bs ga ada di Netflix, mau ga mau jd hrs move ke apk atw browser lain, next Netflix bs lbh bnyk kerjasama dgn filmÂ² populer dan drakorÂ². Thx"
483,NutriSari Ku,1,2022-07-09 09:53:03,"Dutafilm gratis, gapapa ilegal yang penting banyak pilihan film dan serial lengkap. Lah di Netflix udah bayar film dan serial gak lengkap malahan banyak film/serial gak bagus."
484,siti nurhayani,1,2022-07-09 05:10:33,Udah lama nggk buka Netlflix ehh skalinya mau login lgi ko malah bayar bukannya dlu itu gratis login langsung cepet lngsung bisa nonton ko skrang malah registrasi ulang bayar pula gimna ceritanya ini hrus byar dlu nggk seru nggk asik
485,Al Bandawi Universe,5,2022-07-08 16:27:26,"Bagus,ditambah terus kontennya"
486,Agus Setiawan,1,2022-07-08 13:10:44,"Baru kemaren nonton film series, sekarang buka lagi filmnya ilang udah search juga gak ketemu.. Payah ni app, udah bayar pula bikin tugi"
487,Kemal Aghani,1,2022-07-08 09:54:30,"Gak butuh app ini, krn bukan untung nontonnya, malahan rugi besar tiap saat makan kuota"
488,Efreyansyah,1,2022-07-08 05:44:01,"Film nya kurang lengkap,banyak film film bagus skerng tpi gda di netflix"
489,Wulan Triia,1,2022-07-08 03:49:35,"Aplikasi nya jelek bngtt, susah masuk pdahal udh ngisi email tetep aja susah. Tolong diperbaiki dong min bikin kesel aja"
490,mat feb,3,2022-07-07 15:01:54,"Sangat bermanfaat walaupun harus berlangganan tidak merogok kantung terlalu dalam,, terus tingkatkan film update terbaru nya makasih."
491,Ajeng Sofa,2,2022-07-07 11:18:56,"Awal2 sih oke, tp lama2 daftar putar sy hilang sendiri, dicari lg film nya malah ngga ketemu. Apa mungkin tiba2 film nya dihapus dr netflix apa gimana ini? Mana dah jauh bgt ngikutin serialnya. Top 10 nya jg hilang. Tolong perbaiki donk"
492,Melani Melani,1,2022-07-06 10:48:41,"Udah masukin gmail berkali-kali tp gk bisa masuk2, malah bikin keselll aja!!"
493,Vivo V215G,1,2022-07-05 19:46:27,"Setiap kali memutar film selalu tersendatÂ², apakah Netflix harus memakai ram diatas 8/256 ?"
494,tataaafra,5,2022-07-05 04:36:51,Kalo bisa untuk series dan film Jepang nya di banyakin lagi min yaaa....
495,06. Aditya Firdaus,2,2022-07-05 01:45:08,Ini Netflix knpa ya..Setiap gw mau nonton video selalu aj keluar sendiri dari video nya..itu juga nggak sekali..belom lima menit udh gitu lagi..trus pas pencet LANJUT eh keluar lagi.. tolong lah min diperbaiki..
496,Melankolis Sang Pengamat,1,2022-07-04 15:45:21,"Daftar kho ribet sekali, anda yang rugi saya tadi mau menguntungkan netflix, kalau begini nonton bajakan saja"
497,Nicky Alzim,1,2022-07-04 15:22:00,"Utk bisa menonton di aplikasi ini harus membeli paket ğŸ‘ğŸ‘ğŸ‘, tidak seperti aplikasi lain dimana kita bisa menonton dengan gratis meski kadang2 kita harus menunggu utk episod berikutnya, tp itu tidak masalah."
498,Abdul Jafar,1,2022-07-04 14:04:17,"Parah apknya, potong bayar tagihan cepat giliran masuk, bayaran bulanannya minta diperbarui lagi"
499,26_Najwa Lenggogeni Permata Radhi,1,2022-07-04 13:45:42,"Jika saja kalian lebih bijak lagi dalam memilih film untuk ditayangkan di aplikasi ini maka kalian tidak akan terkena juga batunya.Dan saya sangat merasa kecewa, marah dalam pemilihan film kalian yang tidak ada otaknya dan malah membawa bawa film yang di sebuah scenenya terdapat nama nama Tuhan agama lain Dan Allah di lantai dan diinjak.Sebaiknya segera dihapus,dan lebih baik lagi dalam memilih film yang akan ditayangkan memakai otak.Sehingga tidak akan terkena amarah umat Islam dan agama lain."
500,Bima Partogi,1,2022-07-04 11:22:15,Padahal jaringan bagus kok nonton mlh error?......udh berapa hari kyk gini tapi tidak ada perbaikan sampai sekarang
501,Muh. Aditya Pratama,1,2022-07-04 11:07:47,"aplikasi scam ,masa saya udh bayar buat langganan tapi malah gak bisa,mana saldo saya terpotong lagi,dasar developer penipu,cabut aja aplikasi ini dari perizinan Play Store.sampahhhhhh"
502,Eko Bajil,1,2022-07-04 06:12:14,Gak jelas apk nya sudah daftar masih muter2 suruh daftar lagi . Gak bisa buat nonton auto remove
503,Eriecha Lutf,4,2022-07-04 04:40:38,"Kok tiba"" bahasnya jadi bahasa asing gitu ya apk nya.. padahal biasanya pake bhs. Indonesia aman"" aja tolong balikin kayak biasanya, atau bisa pilih mau pake bahasa apa gitu lebih bagus"
504,Siswanto Hadi,1,2022-07-04 03:07:09,"kok gak bisa dibuka ya aplikasinya,padahal udah daftar,masuk malah kembali ke pertama kali...payah banget aplikasinya...setaaanaann"
505,Yasinta Pawindra,1,2022-07-04 01:29:57,"cara daftar nya ngentod -_- ,ini susah bet dah anak babi memang -_- , film nya sih bagus tapi daftar nya gimana ğŸ™ƒ"
506,Rania Kurniawan,2,2022-07-03 14:09:10,Aneh banget udh masukin password gk bisa masuk. Tolong min bantu acc
507,Irma mutiara,2,2022-07-03 13:29:14,"tolong dong kualitas vidio jangan dibatas karna widevine, saya yg agak bermasalah di widevine nya dari L1 trus drop ke L3 merasa sayang banget langganan kalo tontonan nya burik, jadi mending di situs bajakan aja yg kualitas vidionya HD, plis kualitas vidio itu sangat penting bagi saya"
508,Black Bull,5,2022-07-03 00:30:41,"Aplikasi nya sangat bagus. Banyak film/serial terkenal, dan kalo ada aturan klo mau nonton harus bayar. Itu wajar si menurut saya, karena kualitas film/serial ny ajuga bukan main-main. Jadi untuk kalian yang banyak ngomong, cuma gara -gara netflix sekarang harus langganan dulu baru nonton. Mikir lah, mereka juga butuh uang. Sekian, semoga aplikasi nya semakin berkembang. Terimakasih"
509,Lalu Arya Bakti,1,2022-07-02 23:14:39,"Karena baru pertama kali instaall setelah dibuka dapat keterangan ""tidak dijangkau layanan netflix"""
510,Mikayla Mumtazah,1,2022-07-02 18:42:50,Sistem Pembayaran seringkali error. Dipermudah disemua jenis pembayaran
511,Æ™Î±meká¥™,1,2022-07-02 18:38:09,"Kecewa bgt, lebih baik bagian scane tersebut di hapus, Netflix gk detail bgt apa?"
512,Jaemin Na,1,2022-07-02 17:02:03,"Series umbrella academi 3 hapus aja deh, gasuka gue, beneran sakit hati gue sama yang bersangkutan film umbrella academi 3. And sekarang Netflix jadi sering ngbug pas di update malah makin susah, tadinya mau berlangganan ehh reting ny turun dan banyak yang ngeluh setelah berlangganan. byeÂ² Netflix"
513,sri ofc,1,2022-07-02 16:24:30,"Sangat buruk banyak bug dimana"" menyesal telah download dan berlangganan. Akhh sangat jelekkkkkkkkkkkkkkk"
514,Gorengan Anget,1,2022-07-02 15:51:43,"Klo mo bikin film/upload film, mending lihat lihat dulu deh, kalau emang viwers nya dikit, mending gausah bikin video, apalagi bawa bawa Tuhan."
515,Siti Amirin,1,2022-07-02 13:04:40,"untuk netflix saya mohon perbaikannya, baru saya login tetap saja tidak bisa masuk sama sekali"
516,Robi Zhaputra,1,2022-07-02 11:37:09,"Dah lah,,,,udh daftar pake email kok ngk bisa masuk masuk bngsadd,,otw uninstal..."
517,Anis Ft13,3,2022-07-02 02:41:38,"baru aja download netflix, kaget knapa login nya sekarang berbayar dulu, padahal dulu login saja itu gratis loh"
